@RELATION imagette

@ATTRIBUTE label {Accident, Bomb, Car, Casualty, Electricity, Fire, FireBrigade, Flood, Gas, Injury, Paramedics, Person, Police, RoadBlock}
@ATTRIBUTE RatioBW_Global numeric
@ATTRIBUTE NbLinesBlackPixels_Global numeric
@ATTRIBUTE NbColsBlackPixels_Global numeric
@ATTRIBUTE HoughLines_Global numeric
@ATTRIBUTE HoughCircles_Global numeric
@ATTRIBUTE BoundingBoxNumber_Global numeric
@ATTRIBUTE GravityCenterX_Global numeric
@ATTRIBUTE GravityCenterY_Global numeric
@ATTRIBUTE CannyEdges_Global numeric
@ATTRIBUTE HWRatio_Global numeric
@ATTRIBUTE RatioBW_3x3_00 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_00 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_00 numeric
@ATTRIBUTE HoughLines_3x3_00 numeric
@ATTRIBUTE HoughCircles_3x3_00 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_00 numeric
@ATTRIBUTE GravityCenterX_3x3_00 numeric
@ATTRIBUTE GravityCenterY_3x3_00 numeric
@ATTRIBUTE CannyEdges_3x3_00 numeric
@ATTRIBUTE RatioBW_3x3_01 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_01 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_01 numeric
@ATTRIBUTE HoughLines_3x3_01 numeric
@ATTRIBUTE HoughCircles_3x3_01 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_01 numeric
@ATTRIBUTE GravityCenterX_3x3_01 numeric
@ATTRIBUTE GravityCenterY_3x3_01 numeric
@ATTRIBUTE CannyEdges_3x3_01 numeric
@ATTRIBUTE RatioBW_3x3_02 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_02 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_02 numeric
@ATTRIBUTE HoughLines_3x3_02 numeric
@ATTRIBUTE HoughCircles_3x3_02 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_02 numeric
@ATTRIBUTE GravityCenterX_3x3_02 numeric
@ATTRIBUTE GravityCenterY_3x3_02 numeric
@ATTRIBUTE CannyEdges_3x3_02 numeric
@ATTRIBUTE RatioBW_3x3_10 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_10 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_10 numeric
@ATTRIBUTE HoughLines_3x3_10 numeric
@ATTRIBUTE HoughCircles_3x3_10 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_10 numeric
@ATTRIBUTE GravityCenterX_3x3_10 numeric
@ATTRIBUTE GravityCenterY_3x3_10 numeric
@ATTRIBUTE CannyEdges_3x3_10 numeric
@ATTRIBUTE RatioBW_3x3_11 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_11 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_11 numeric
@ATTRIBUTE HoughLines_3x3_11 numeric
@ATTRIBUTE HoughCircles_3x3_11 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_11 numeric
@ATTRIBUTE GravityCenterX_3x3_11 numeric
@ATTRIBUTE GravityCenterY_3x3_11 numeric
@ATTRIBUTE CannyEdges_3x3_11 numeric
@ATTRIBUTE RatioBW_3x3_12 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_12 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_12 numeric
@ATTRIBUTE HoughLines_3x3_12 numeric
@ATTRIBUTE HoughCircles_3x3_12 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_12 numeric
@ATTRIBUTE GravityCenterX_3x3_12 numeric
@ATTRIBUTE GravityCenterY_3x3_12 numeric
@ATTRIBUTE CannyEdges_3x3_12 numeric
@ATTRIBUTE RatioBW_3x3_20 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_20 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_20 numeric
@ATTRIBUTE HoughLines_3x3_20 numeric
@ATTRIBUTE HoughCircles_3x3_20 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_20 numeric
@ATTRIBUTE GravityCenterX_3x3_20 numeric
@ATTRIBUTE GravityCenterY_3x3_20 numeric
@ATTRIBUTE CannyEdges_3x3_20 numeric
@ATTRIBUTE RatioBW_3x3_21 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_21 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_21 numeric
@ATTRIBUTE HoughLines_3x3_21 numeric
@ATTRIBUTE HoughCircles_3x3_21 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_21 numeric
@ATTRIBUTE GravityCenterX_3x3_21 numeric
@ATTRIBUTE GravityCenterY_3x3_21 numeric
@ATTRIBUTE CannyEdges_3x3_21 numeric
@ATTRIBUTE RatioBW_3x3_22 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_22 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_22 numeric
@ATTRIBUTE HoughLines_3x3_22 numeric
@ATTRIBUTE HoughCircles_3x3_22 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_22 numeric
@ATTRIBUTE GravityCenterX_3x3_22 numeric
@ATTRIBUTE GravityCenterY_3x3_22 numeric
@ATTRIBUTE CannyEdges_3x3_22 numeric
@ATTRIBUTE RatioBW_2x2_00 numeric
@ATTRIBUTE NbLinesBlackPixels_2x2_00 numeric
@ATTRIBUTE NbColsBlackPixels_2x2_00 numeric
@ATTRIBUTE HoughLines_2x2_00 numeric
@ATTRIBUTE HoughCircles_2x2_00 numeric
@ATTRIBUTE BoundingBoxNumber_2x2_00 numeric
@ATTRIBUTE GravityCenterX_2x2_00 numeric
@ATTRIBUTE GravityCenterY_2x2_00 numeric
@ATTRIBUTE CannyEdges_2x2_00 numeric
@ATTRIBUTE RatioBW_2x2_01 numeric
@ATTRIBUTE NbLinesBlackPixels_2x2_01 numeric
@ATTRIBUTE NbColsBlackPixels_2x2_01 numeric
@ATTRIBUTE HoughLines_2x2_01 numeric
@ATTRIBUTE HoughCircles_2x2_01 numeric
@ATTRIBUTE BoundingBoxNumber_2x2_01 numeric
@ATTRIBUTE GravityCenterX_2x2_01 numeric
@ATTRIBUTE GravityCenterY_2x2_01 numeric
@ATTRIBUTE CannyEdges_2x2_01 numeric
@ATTRIBUTE RatioBW_2x2_10 numeric
@ATTRIBUTE NbLinesBlackPixels_2x2_10 numeric
@ATTRIBUTE NbColsBlackPixels_2x2_10 numeric
@ATTRIBUTE HoughLines_2x2_10 numeric
@ATTRIBUTE HoughCircles_2x2_10 numeric
@ATTRIBUTE BoundingBoxNumber_2x2_10 numeric
@ATTRIBUTE GravityCenterX_2x2_10 numeric
@ATTRIBUTE GravityCenterY_2x2_10 numeric
@ATTRIBUTE CannyEdges_2x2_10 numeric
@ATTRIBUTE RatioBW_2x2_11 numeric
@ATTRIBUTE NbLinesBlackPixels_2x2_11 numeric
@ATTRIBUTE NbColsBlackPixels_2x2_11 numeric
@ATTRIBUTE HoughLines_2x2_11 numeric
@ATTRIBUTE HoughCircles_2x2_11 numeric
@ATTRIBUTE BoundingBoxNumber_2x2_11 numeric
@ATTRIBUTE GravityCenterX_2x2_11 numeric
@ATTRIBUTE GravityCenterY_2x2_11 numeric
@ATTRIBUTE CannyEdges_2x2_11 numeric

@DATA
Gas, 20.9184, 0.953704, 0.918367, 0, 10, 3, 47.8904, 52.2718, 5, 1.10204, 58.0729, 1, 1, 0, 1, 2, 0, 0, 3, 50.5208, 1, 0.96875, 0, 0, 2, 12.4129, 16.6654, 2, 47.5694, 1, 0.71875, 0, 1, 2, 0, 0, 2, 59.375, 1, 1, 0, 1, 2, 0, 0, 4, 64.3229, 1, 1, 0, 1, 2, 0, 0, 3, 66.3194, 0.861111, 1, 0, 2, 1, 0, 0, 2, 47.1354, 0.916667, 0.90625, 0, 2, 3, 0, 0, 1, 48.1771, 1, 1, 0, 1, 2, 0, 0, 2, 11.8056, 0.722222, 0.28125, 0, 0, 1, 0, 0, 1, 63.1141, 1, 1, 1, 3, 2, 0, 0, 3, 67.9138, 1, 0.918367, 0, 2, 1, 0, 0, 0, 74.2253, 1, 1, 0, 3, 2, 0, 0, 0, 40.9675, 0.944444, 0.693878, 0, 4, 1, 0, 0, 0
FireBrigade, 26.6901, 0.970297, 0.967742, 12, 11, 5, 42.1561, 47.6843, 7, 1.08602, 80.9384, 1, 1, 0, 2, 1, 0, 0, 6, 74.2913, 1, 0.83871, 0, 1, 1, 0, 0, 3, 64.4184, 1, 0.774194, 0, 1, 1, 0, 0, 4, 59.7263, 0.757576, 1, 0, 0, 1, 0, 0, 2, 81.2317, 1, 1, 0, 3, 1, 0, 0, 3, 52.1994, 0.818182, 1, 0, 0, 1, 0, 0, 2, 20.1369, 0.393939, 0.83871, 0, 0, 1, 0, 0, 1, 72.043, 1, 1, 0, 2, 1, 0, 0, 4, 3.42131, 0.181818, 0.225806, 0, 0, 1, 0, 0, 0, 88.5217, 1, 1, 0, 3, 1, 0, 0, 4, 79.7391, 1, 0.913043, 0, 2, 2, 13.768, 18.6573, 2, 57.2174, 0.76, 1, 0, 3, 1, 0, 0, 2, 39.7391, 0.7, 1, 1, 1, 1, 0, 0, 1
Accident, 22.1432, 0.980198, 0.979167, 17, 9, 4, 44.0709, 47.8581, 9, 1.05208, 3.78788, 0.272727, 0.15625, 0, 0, 1, 0, 0, 0, 42.7083, 1, 0.75, 0, 0, 2, 0, 0, 2, 62.5947, 1, 1, 0, 5, 1, 0, 0, 3, 81.7235, 1, 1, 0, 2, 1, 0, 0, 5, 56.4394, 1, 1, 0, 1, 2, 0, 0, 3, 75.947, 1, 1, 0, 1, 1, 0, 0, 2, 8.14394, 0.393939, 0.3125, 0, 0, 1, 0, 0, 1, 50.2841, 1, 0.9375, 0, 0, 2, 0, 0, 2, 64.678, 1, 1, 0, 2, 1, 0, 0, 3, 44.5417, 1, 0.6875, 0, 2, 1, 0, 0, 3, 70.5833, 1, 1, 1, 6, 2, 0, 0, 1, 44.4167, 0.96, 0.791667, 0, 1, 1, 0, 0, 0, 74.5833, 1, 1, 0, 3, 1, 32.0941, 20.6266, 0
Car, 23.1936, 0.949367, 0.987578, 12, 19, 6, 73.9147, 38.5827, 9, 0.490683, 28.7373, 0.653846, 0.566038, 0, 1, 1, 0, 0, 2, 40.7837, 1, 0.924528, 0, 0, 2, 0, 0, 2, 79.1001, 1, 1, 0, 2, 1, 21.0572, 11.5218, 6, 53.4833, 0.730769, 1, 1, 0, 2, 38.2387, 13.0904, 2, 14.0784, 0.230769, 0.924528, 1, 0, 1, 0, 0, 1, 62.7721, 1, 1, 0, 1, 1, 0, 0, 2, 50.4354, 1, 0.886792, 0, 3, 2, 0, 0, 2, 63.135, 1, 1, 0, 4, 1, 0, 0, 4, 58.6357, 1, 0.773585, 0, 2, 1, 0, 0, 2, 40.3205, 0.871795, 0.8625, 0, 5, 2, 59.9467, 14.6434, 0, 74.9679, 1, 1, 0, 4, 3, 21.2781, 24.7339, 3, 51.3462, 1, 1, 1, 6, 2, 0, 0, 1, 70.5769, 1, 1, 0, 3, 3, 57.1476, 24.6072, 2
Police, 21.9584, 0.965517, 0.962264, 6, 10, 5, 50.3805, 54.3096, 8, 1.09434, 24.4361, 0.657895, 0.657143, 0, 0, 1, 0, 0, 2, 59.3233, 1, 0.971429, 0, 2, 2, 0, 0, 3, 40.3759, 0.921053, 0.885714, 0, 0, 2, 0, 0, 2, 79.2481, 1, 1, 0, 1, 1, 21.0756, 20.3726, 5, 74.6617, 1, 1, 0, 2, 1, 22.2826, 20.4167, 4, 54.2857, 0.973684, 1, 0, 3, 1, 0, 0, 6, 19.6992, 0.5, 0.657143, 0, 0, 1, 0, 0, 2, 58.1955, 1, 1, 0, 3, 2, 0, 0, 3, 32.3308, 0.736842, 0.885714, 1, 0, 2, 0, 0, 2, 65.3871, 1, 1, 4, 7, 1, 29.0565, 35.5987, 2, 63.0124, 1, 1, 3, 2, 2, 18.826, 16.4099, 1, 55.758, 0.931035, 1, 1, 3, 1, 16.7514, 32.6914, 2, 43.8517, 0.965517, 1, 0, 3, 2, 0, 0, 0
Electricity, 17.5711, 0.984496, 0.930556, 7, 7, 5, 34.0204, 69.5687, 5, 1.79167, 37.9845, 0.651163, 1, 0, 0, 1, 0, 0, 2, 27.8101, 0.348837, 1, 0, 1, 1, 0, 0, 2, 27.7132, 0.837209, 0.416667, 0, 0, 1, 0, 0, 1, 41.2791, 0.72093, 1, 0, 1, 2, 0, 0, 3, 38.5659, 0.674419, 1, 0, 0, 2, 0, 0, 2, 75.4845, 1, 1, 0, 1, 2, 12.0759, 26.6035, 4, 1.74419, 0.186047, 0.0833333, 0, 0, 1, 0, 0, 0, 57.655, 0.767442, 1, 0, 1, 2, 0, 0, 3, 42.8295, 0.744186, 1, 0, 1, 2, 0, 0, 3, 58.0295, 1, 1, 1, 3, 3, 0, 0, 1, 32.7257, 0.5625, 0.666667, 0, 2, 1, 23.4807, 37.4324, 2, 28.7326, 0.625, 0.972222, 0, 3, 1, 0, 0, 1, 68.0122, 0.984375, 1, 0, 2, 3, 0, 0, 1
Paramedics, 26.1345, 0.980198, 0.979167, 0, 4, 4, 44.2064, 46.8561, 7, 1.05208, 52.3674, 1, 0.875, 0, 2, 2, 0, 0, 2, 69.5076, 1, 1, 0, 1, 1, 0, 0, 3, 55.9659, 1, 1, 0, 1, 2, 0, 0, 2, 47.6326, 0.606061, 1, 0, 1, 1, 0, 0, 1, 70.4545, 1, 1, 0, 1, 1, 0, 0, 5, 40.7197, 0.606061, 1, 0, 0, 1, 0, 0, 2, 58.9015, 1, 0.96875, 0, 1, 2, 0, 0, 2, 48.4848, 1, 0.78125, 0, 0, 1, 0, 0, 2, 55.303, 1, 1, 0, 3, 1, 0, 0, 2, 66.7917, 1, 1, 0, 3, 2, 0, 0, 0, 74.5417, 1, 1, 0, 1, 1, 0, 0, 0, 59, 1, 1, 0, 3, 2, 0, 0, 0, 64.0417, 1, 1, 0, 2, 1, 0, 0, 0
RoadBlock, 23.9198, 0.979381, 0.966292, 6, 6, 5, 42.8743, 40.7634, 6, 1.08989, 42.0259, 0.90625, 0.862069, 0, 0, 2, 15.5185, 19.6971, 2, 55.0647, 1, 0.896552, 0, 0, 1, 0, 0, 3, 57.4353, 1, 1, 0, 1, 2, 0, 0, 2, 54.3103, 0.59375, 1, 0, 0, 1, 0, 0, 2, 46.875, 0.5625, 1, 0, 0, 1, 0, 0, 2, 33.2974, 0.40625, 1, 0, 1, 1, 0, 0, 1, 57.6509, 1, 0.862069, 0, 0, 1, 13.1454, 15.7012, 2, 67.7802, 1, 1, 0, 1, 1, 0, 0, 5, 54.9569, 1, 1, 0, 2, 2, 0, 0, 2, 56.2973, 1, 1, 0, 3, 2, 0, 0, 0, 64.0152, 1, 1, 0, 2, 2, 0, 0, 0, 62.0265, 1, 1, 0, 3, 2, 24.1556, 22.0518, 1, 65.9564, 1, 1, 0, 3, 2, 0, 0, 1
FireBrigade, 29.5522, 0.978495, 0.967033, 11, 10, 3, 41.9975, 44.4839, 7, 1.02198, 93.2258, 1, 1, 0, 1, 0, 0, 0, 4, 98.172, 1, 1, 0, 1, 0, 0, 0, 5, 91.828, 1, 1, 0, 2, 0, 0, 0, 4, 69.7849, 0.83871, 1, 0, 1, 1, 0, 0, 2, 63.4409, 0.83871, 1, 0, 1, 1, 0, 0, 3, 31.2903, 0.645161, 0.9, 0, 0, 1, 0, 0, 2, 31.7204, 0.516129, 1, 0, 0, 1, 0, 0, 2, 57.4194, 0.967742, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 95.0725, 1, 1, 1, 3, 0, 0, 0, 1, 89.8551, 1, 1, 1, 5, 1, 17.7949, 14.4498, 2, 57.8261, 0.826087, 1, 0, 2, 2, 0, 0, 2, 28.1643, 0.565217, 0.822222, 0, 1, 1, 0, 0, 0
Electricity, 19.8473, 0.984733, 0.910714, 0, 5, 4, 25.9496, 71.6873, 8, 2.33929, 33.7209, 0.627907, 0.944444, 0, 0, 1, 0, 0, 2, 36.4341, 0.44186, 1, 0, 1, 1, 0, 0, 3, 73.5142, 0.813953, 1, 0, 0, 1, 0, 0, 4, 50.1292, 0.930233, 1, 0, 0, 2, 0, 0, 2, 50.2584, 0.883721, 1, 0, 0, 2, 0, 0, 3, 76.2274, 0.953488, 1, 0, 1, 1, 0, 0, 3, 12.1447, 0.348837, 0.444444, 0, 0, 1, 0, 0, 2, 58.3979, 0.744186, 1, 0, 0, 2, 0, 0, 4, 9.04393, 0.465116, 0.277778, 0, 0, 1, 0, 0, 0, 61.8132, 0.953846, 1, 0, 1, 1, 0, 0, 0, 59.2857, 0.830769, 1, 0, 2, 1, 0, 0, 4, 34.5604, 0.646154, 1, 0, 1, 1, 0, 0, 0, 48.5714, 0.892308, 1, 0, 0, 1, 0, 0, 1
