@RELATION imagette

@ATTRIBUTE label {Accident, Bomb, Car, Casualty, Electricity, Fire, FireBrigade, Flood, Gas, Injury, Paramedics, Person, Police, RoadBlock}
@ATTRIBUTE RatioBW_Global numeric
@ATTRIBUTE NbLinesBlackPixels_Global numeric
@ATTRIBUTE NbColsBlackPixels_Global numeric
@ATTRIBUTE HoughLines_Global numeric
@ATTRIBUTE HoughCircles_Global numeric
@ATTRIBUTE BoundingBoxNumber_Global numeric
@ATTRIBUTE GravityCenterX_Global numeric
@ATTRIBUTE GravityCenterY_Global numeric
@ATTRIBUTE CannyEdges_Global numeric
@ATTRIBUTE HWRatio_Global numeric
@ATTRIBUTE RatioBW_3x3_00 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_00 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_00 numeric
@ATTRIBUTE HoughLines_3x3_00 numeric
@ATTRIBUTE HoughCircles_3x3_00 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_00 numeric
@ATTRIBUTE GravityCenterX_3x3_00 numeric
@ATTRIBUTE GravityCenterY_3x3_00 numeric
@ATTRIBUTE CannyEdges_3x3_00 numeric
@ATTRIBUTE RatioBW_3x3_01 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_01 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_01 numeric
@ATTRIBUTE HoughLines_3x3_01 numeric
@ATTRIBUTE HoughCircles_3x3_01 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_01 numeric
@ATTRIBUTE GravityCenterX_3x3_01 numeric
@ATTRIBUTE GravityCenterY_3x3_01 numeric
@ATTRIBUTE CannyEdges_3x3_01 numeric
@ATTRIBUTE RatioBW_3x3_02 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_02 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_02 numeric
@ATTRIBUTE HoughLines_3x3_02 numeric
@ATTRIBUTE HoughCircles_3x3_02 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_02 numeric
@ATTRIBUTE GravityCenterX_3x3_02 numeric
@ATTRIBUTE GravityCenterY_3x3_02 numeric
@ATTRIBUTE CannyEdges_3x3_02 numeric
@ATTRIBUTE RatioBW_3x3_10 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_10 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_10 numeric
@ATTRIBUTE HoughLines_3x3_10 numeric
@ATTRIBUTE HoughCircles_3x3_10 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_10 numeric
@ATTRIBUTE GravityCenterX_3x3_10 numeric
@ATTRIBUTE GravityCenterY_3x3_10 numeric
@ATTRIBUTE CannyEdges_3x3_10 numeric
@ATTRIBUTE RatioBW_3x3_11 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_11 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_11 numeric
@ATTRIBUTE HoughLines_3x3_11 numeric
@ATTRIBUTE HoughCircles_3x3_11 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_11 numeric
@ATTRIBUTE GravityCenterX_3x3_11 numeric
@ATTRIBUTE GravityCenterY_3x3_11 numeric
@ATTRIBUTE CannyEdges_3x3_11 numeric
@ATTRIBUTE RatioBW_3x3_12 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_12 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_12 numeric
@ATTRIBUTE HoughLines_3x3_12 numeric
@ATTRIBUTE HoughCircles_3x3_12 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_12 numeric
@ATTRIBUTE GravityCenterX_3x3_12 numeric
@ATTRIBUTE GravityCenterY_3x3_12 numeric
@ATTRIBUTE CannyEdges_3x3_12 numeric
@ATTRIBUTE RatioBW_3x3_20 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_20 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_20 numeric
@ATTRIBUTE HoughLines_3x3_20 numeric
@ATTRIBUTE HoughCircles_3x3_20 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_20 numeric
@ATTRIBUTE GravityCenterX_3x3_20 numeric
@ATTRIBUTE GravityCenterY_3x3_20 numeric
@ATTRIBUTE CannyEdges_3x3_20 numeric
@ATTRIBUTE RatioBW_3x3_21 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_21 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_21 numeric
@ATTRIBUTE HoughLines_3x3_21 numeric
@ATTRIBUTE HoughCircles_3x3_21 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_21 numeric
@ATTRIBUTE GravityCenterX_3x3_21 numeric
@ATTRIBUTE GravityCenterY_3x3_21 numeric
@ATTRIBUTE CannyEdges_3x3_21 numeric
@ATTRIBUTE RatioBW_3x3_22 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_22 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_22 numeric
@ATTRIBUTE HoughLines_3x3_22 numeric
@ATTRIBUTE HoughCircles_3x3_22 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_22 numeric
@ATTRIBUTE GravityCenterX_3x3_22 numeric
@ATTRIBUTE GravityCenterY_3x3_22 numeric
@ATTRIBUTE CannyEdges_3x3_22 numeric
@ATTRIBUTE RatioBW_2x2_00 numeric
@ATTRIBUTE NbLinesBlackPixels_2x2_00 numeric
@ATTRIBUTE NbColsBlackPixels_2x2_00 numeric
@ATTRIBUTE HoughLines_2x2_00 numeric
@ATTRIBUTE HoughCircles_2x2_00 numeric
@ATTRIBUTE BoundingBoxNumber_2x2_00 numeric
@ATTRIBUTE GravityCenterX_2x2_00 numeric
@ATTRIBUTE GravityCenterY_2x2_00 numeric
@ATTRIBUTE CannyEdges_2x2_00 numeric
@ATTRIBUTE RatioBW_2x2_01 numeric
@ATTRIBUTE NbLinesBlackPixels_2x2_01 numeric
@ATTRIBUTE NbColsBlackPixels_2x2_01 numeric
@ATTRIBUTE HoughLines_2x2_01 numeric
@ATTRIBUTE HoughCircles_2x2_01 numeric
@ATTRIBUTE BoundingBoxNumber_2x2_01 numeric
@ATTRIBUTE GravityCenterX_2x2_01 numeric
@ATTRIBUTE GravityCenterY_2x2_01 numeric
@ATTRIBUTE CannyEdges_2x2_01 numeric
@ATTRIBUTE RatioBW_2x2_10 numeric
@ATTRIBUTE NbLinesBlackPixels_2x2_10 numeric
@ATTRIBUTE NbColsBlackPixels_2x2_10 numeric
@ATTRIBUTE HoughLines_2x2_10 numeric
@ATTRIBUTE HoughCircles_2x2_10 numeric
@ATTRIBUTE BoundingBoxNumber_2x2_10 numeric
@ATTRIBUTE GravityCenterX_2x2_10 numeric
@ATTRIBUTE GravityCenterY_2x2_10 numeric
@ATTRIBUTE CannyEdges_2x2_10 numeric
@ATTRIBUTE RatioBW_2x2_11 numeric
@ATTRIBUTE NbLinesBlackPixels_2x2_11 numeric
@ATTRIBUTE NbColsBlackPixels_2x2_11 numeric
@ATTRIBUTE HoughLines_2x2_11 numeric
@ATTRIBUTE HoughCircles_2x2_11 numeric
@ATTRIBUTE BoundingBoxNumber_2x2_11 numeric
@ATTRIBUTE GravityCenterX_2x2_11 numeric
@ATTRIBUTE GravityCenterY_2x2_11 numeric
@ATTRIBUTE CannyEdges_2x2_11 numeric

@DATA
Electricity, 20.8757, 0.977099, 0.944444, 1, 7, 5, 35.7766, 70.631, 5, 1.81944, 39.438, 0.651163, 1, 0, 0, 1, 0, 0, 2, 30.4264, 0.372093, 1, 0, 0, 1, 0, 0, 3, 31.9767, 0.813953, 0.458333, 0, 0, 1, 0, 0, 2, 46.7054, 0.813953, 1, 0, 1, 2, 0, 0, 3, 43.314, 0.72093, 1, 0, 1, 2, 0, 0, 2, 79.1667, 1, 1, 0, 1, 1, 0, 0, 4, 2.42248, 0.232558, 0.125, 0, 0, 1, 0, 0, 0, 58.2364, 0.767442, 1, 0, 3, 1, 0, 0, 3, 45.9302, 0.790698, 1, 0, 1, 2, 0, 0, 3, 61.1538, 1, 1, 1, 3, 3, 0, 0, 2, 35.5556, 0.6, 0.694444, 0, 1, 1, 0, 0, 4, 31.0256, 0.692308, 0.972222, 0, 2, 1, 0, 0, 1, 69.3162, 0.969231, 1, 0, 3, 3, 0, 0, 3
Accident, 28.621, 0.980198, 0.979381, 3, 10, 4, 46.9785, 48.4252, 9, 1.04124, 3.40909, 0.242424, 0.15625, 0, 0, 1, 0, 0, 0, 48.5795, 1, 0.78125, 0, 1, 1, 0, 0, 2, 66.8561, 1, 1, 0, 3, 1, 0, 0, 5, 84.2803, 1, 1, 0, 0, 1, 0, 0, 3, 68.1818, 1, 1, 0, 0, 1, 0, 0, 3, 83.8068, 1, 1, 0, 1, 1, 0, 0, 3, 11.1742, 0.484848, 0.40625, 0, 0, 1, 0, 0, 1, 54.4508, 1, 0.96875, 0, 0, 2, 0, 0, 2, 69.8864, 1, 1, 0, 3, 1, 0, 0, 3, 45.3333, 1, 0.708333, 0, 2, 1, 26.123, 33.121, 4, 73.7917, 1, 1, 1, 4, 2, 22.822, 16.1084, 2, 49.5417, 0.98, 0.8125, 0, 5, 1, 19.7396, 23.5886, 2, 82.9583, 1, 1, 0, 2, 1, 30.4266, 15.1391, 3
FireBrigade, 34.0113, 0.970588, 0.968085, 4, 11, 3, 48.3331, 52.7944, 8, 1.08511, 92.7894, 1, 1, 0, 3, 0, 0, 0, 6, 82.2581, 1, 0.870968, 0, 0, 0, 0, 0, 3, 81.9734, 1, 1, 0, 3, 0, 0, 0, 3, 61.4801, 0.941176, 1, 0, 1, 1, 0, 0, 3, 92.315, 1, 1, 0, 1, 0, 0, 0, 5, 51.1385, 0.823529, 1, 0, 1, 1, 15.3756, 10.9714, 3, 21.2524, 0.411765, 0.870968, 0, 0, 1, 0, 0, 1, 81.2144, 1, 1, 0, 2, 1, 0, 0, 4, 3.60531, 0.205882, 0.225806, 0, 0, 1, 0, 0, 0, 92.7409, 1, 1, 0, 5, 1, 21.6127, 23.9583, 2, 88.569, 1, 1, 0, 3, 1, 11.1819, 22.7905, 3, 57.2382, 0.745098, 1, 0, 3, 1, 21.4441, 24.1538, 3, 39.8415, 0.686275, 0.978723, 0, 4, 1, 0, 0, 1
Gas, 25.5252, 0.954545, 0.951456, 1, 9, 4, 52.0141, 56.1976, 8, 1.06796, 59.8856, 1, 1, 0, 3, 2, 21.9469, 14.6848, 3, 54.9837, 1, 0.911765, 0, 0, 2, 0, 0, 2, 52.2059, 1, 0.705882, 0, 1, 2, 0, 0, 2, 66.7484, 1, 1, 0, 2, 2, 0, 0, 3, 71.0784, 1, 1, 0, 2, 1, 0, 0, 3, 75.3268, 0.916667, 1, 0, 3, 1, 0, 0, 4, 56.6993, 0.916667, 1, 0, 4, 2, 0, 0, 3, 49.5098, 1, 1, 0, 2, 1, 17.9655, 15.188, 2, 8.90523, 0.694444, 0.205882, 0, 0, 1, 0, 0, 0, 69.3048, 1, 1, 1, 5, 2, 0, 0, 3, 71.1586, 1, 0.921569, 0, 3, 1, 0, 0, 3, 79.6078, 1, 1, 0, 4, 2, 0, 0, 5, 42.4242, 0.927273, 0.686275, 0, 4, 2, 0, 0, 0
Car, 27.3946, 0.95, 0.963855, 8, 17, 6, 85.0019, 39.9823, 8, 0.481928, 32.9371, 0.807692, 0.581818, 0, 1, 1, 0, 0, 2, 44.8252, 1, 0.890909, 0, 1, 2, 0, 0, 3, 79.7902, 1, 1, 0, 1, 1, 23.719, 11.5161, 4, 60.9091, 0.807692, 1, 1, 0, 1, 0, 0, 2, 16.7133, 0.269231, 0.945455, 0, 0, 1, 0, 0, 1, 67.4126, 1, 1, 0, 3, 1, 0, 0, 1, 50.5594, 1, 0.872727, 0, 2, 2, 0, 0, 3, 69.021, 1, 1, 0, 3, 1, 22.1738, 12.8365, 3, 59.0909, 1, 0.745455, 0, 2, 1, 0, 0, 4, 44.488, 0.9, 0.879518, 0, 4, 2, 0, 0, 2, 75.9639, 1, 1, 0, 5, 3, 24.2241, 23.6865, 3, 54.4578, 1, 1, 0, 5, 2, 19.7502, 12.0771, 0, 69.6084, 1, 1, 0, 4, 3, 10.6855, 12.0458, 0
RoadBlock, 27.2294, 0.969388, 0.956522, 0, 7, 5, 48.5278, 46.1255, 6, 1.06522, 48.3333, 0.90625, 0.866667, 0, 1, 1, 0, 0, 3, 60.7292, 1, 1, 0, 1, 1, 0, 0, 4, 59.6875, 1, 1, 0, 1, 2, 0, 0, 2, 55.4167, 0.625, 1, 0, 0, 1, 0, 0, 2, 49.7917, 0.5625, 1, 0, 0, 1, 13.7568, 11.7744, 2, 35.4167, 0.40625, 1, 0, 1, 1, 0, 0, 1, 55.4167, 1, 0.8, 0, 1, 1, 0, 0, 2, 72.9167, 1, 1, 0, 2, 1, 13.6445, 12.3833, 4, 58.0208, 1, 1, 0, 1, 2, 0, 0, 2, 61.1358, 1, 1, 0, 3, 2, 0, 0, 2, 64.4188, 1, 1, 0, 2, 2, 0, 0, 0, 61.5794, 1, 1, 0, 3, 2, 0, 0, 1, 67.6575, 1, 1, 1, 2, 2, 0, 0, 0
Paramedics, 31.8281, 0.990196, 0.969697, 0, 6, 4, 53.1373, 53.5469, 10, 1.0303, 58.1996, 1, 0.909091, 0, 1, 2, 0, 0, 2, 73.6185, 1, 1, 0, 1, 1, 0, 0, 3, 57.754, 1, 1, 0, 2, 2, 0, 0, 2, 51.2478, 0.676471, 1, 0, 0, 1, 0, 0, 1, 75.4902, 1, 1, 0, 1, 1, 0, 0, 4, 49.9109, 0.647059, 1, 0, 0, 1, 0, 0, 1, 60.0713, 1, 0.939394, 0, 1, 2, 0, 0, 2, 54.9911, 1, 0.787879, 0, 0, 1, 0, 0, 5, 61.5865, 1, 1, 0, 1, 2, 0, 0, 2, 72.1889, 1, 1, 0, 3, 2, 0, 0, 3, 77.0708, 1, 1, 0, 2, 2, 0, 0, 2, 62.9052, 1, 1, 0, 2, 2, 0, 0, 2, 69.2677, 1, 1, 0, 2, 1, 0, 0, 1
Police, 26.2019, 0.958333, 0.990385, 2, 12, 5, 44.516, 59.0641, 7, 1.15385, 30.2206, 0.9, 0.676471, 0, 0, 1, 0, 0, 2, 64.8529, 1, 0.970588, 0, 2, 1, 0, 0, 3, 40.9559, 0.875, 0.882353, 1, 1, 1, 0, 0, 2, 82.1324, 1, 1, 0, 4, 1, 0, 0, 4, 76.3235, 1, 1, 0, 3, 1, 0, 0, 4, 59.2647, 1, 1, 0, 4, 2, 0, 0, 3, 21.6912, 0.5, 0.676471, 0, 0, 1, 0, 0, 2, 65.0735, 1, 1, 0, 3, 1, 0, 0, 4, 30.2941, 0.675, 0.794118, 0, 2, 1, 0, 0, 2, 69.0705, 1, 1, 2, 5, 1, 27.3242, 36.6217, 4, 68.0449, 1, 1, 4, 5, 2, 0, 0, 2, 57.0833, 0.916667, 1, 3, 3, 1, 0, 0, 4, 44.8077, 0.95, 1, 2, 4, 2, 0, 0, 1
Electricity, 24.4811, 0.984733, 0.964912, 0, 6, 4, 26.1169, 60.7142, 7, 2.29825, 38.6781, 0.651163, 1, 0, 0, 1, 0, 0, 2, 38.1885, 0.44186, 1, 0, 0, 1, 0, 0, 2, 76.7442, 0.860465, 1, 0, 0, 1, 0, 0, 6, 54.9572, 1, 1, 0, 0, 2, 0, 0, 2, 58.1395, 1, 1, 0, 1, 2, 0, 0, 3, 77.4786, 0.976744, 1, 0, 1, 1, 0, 0, 3, 11.1383, 0.348837, 0.368421, 0, 0, 1, 0, 0, 1, 61.1995, 0.744186, 1, 0, 1, 2, 0, 0, 3, 7.22154, 0.418605, 0.263158, 0, 0, 1, 0, 0, 0, 64.6154, 0.953846, 1, 0, 2, 1, 0, 0, 2, 60.5494, 0.830769, 1, 0, 1, 1, 0, 0, 4, 40.6593, 0.707692, 1, 0, 2, 1, 0, 0, 2, 53.6813, 0.907692, 1, 0, 4, 1, 0, 0, 1
FireBrigade, 36.8108, 0.968085, 0.978495, 7, 12, 3, 40.5208, 46.7392, 9, 1.01075, 93.5484, 1, 1, 0, 1, 0, 0, 0, 4, 99.6878, 1, 1, 0, 2, 0, 0, 0, 3, 97.0864, 1, 1, 0, 4, 0, 0, 0, 4, 64.0999, 0.774194, 1, 0, 0, 1, 13.7357, 15.3479, 2, 75.9625, 0.967742, 1, 0, 1, 1, 0, 0, 4, 37.565, 0.774194, 0.967742, 0, 0, 1, 0, 0, 2, 23.1009, 0.451613, 0.935484, 0, 0, 1, 0, 0, 1, 64.4121, 1, 1, 0, 2, 1, 0, 0, 3, 0.208117, 0.0322581, 0, 0, 0, 1, 0, 0, 0, 93.6633, 1, 1, 1, 4, 1, 23.2008, 22.1495, 1, 91.5819, 1, 1, 1, 5, 1, 17.6795, 20.4123, 3, 56.6605, 0.808511, 1, 0, 1, 1, 0, 0, 2, 28.5384, 0.574468, 0.847826, 0, 2, 1, 0, 0, 0
