@RELATION imagette

@ATTRIBUTE label {Accident, Bomb, Car, Casualty, Electricity, Fire, FireBrigade, Flood, Gas, Injury, Paramedics, Person, Police, RoadBlock}
@ATTRIBUTE RatioBW_Global numeric
@ATTRIBUTE NbLinesBlackPixels_Global numeric
@ATTRIBUTE NbColsBlackPixels_Global numeric
@ATTRIBUTE HoughLines_Global numeric
@ATTRIBUTE HoughCircles_Global numeric
@ATTRIBUTE BoundingBoxNumber_Global numeric
@ATTRIBUTE GravityCenterX_Global numeric
@ATTRIBUTE GravityCenterY_Global numeric
@ATTRIBUTE CannyEdges_Global numeric
@ATTRIBUTE HWRatio_Global numeric
@ATTRIBUTE RatioBW_3x3_00 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_00 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_00 numeric
@ATTRIBUTE HoughLines_3x3_00 numeric
@ATTRIBUTE HoughCircles_3x3_00 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_00 numeric
@ATTRIBUTE GravityCenterX_3x3_00 numeric
@ATTRIBUTE GravityCenterY_3x3_00 numeric
@ATTRIBUTE CannyEdges_3x3_00 numeric
@ATTRIBUTE RatioBW_3x3_01 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_01 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_01 numeric
@ATTRIBUTE HoughLines_3x3_01 numeric
@ATTRIBUTE HoughCircles_3x3_01 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_01 numeric
@ATTRIBUTE GravityCenterX_3x3_01 numeric
@ATTRIBUTE GravityCenterY_3x3_01 numeric
@ATTRIBUTE CannyEdges_3x3_01 numeric
@ATTRIBUTE RatioBW_3x3_02 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_02 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_02 numeric
@ATTRIBUTE HoughLines_3x3_02 numeric
@ATTRIBUTE HoughCircles_3x3_02 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_02 numeric
@ATTRIBUTE GravityCenterX_3x3_02 numeric
@ATTRIBUTE GravityCenterY_3x3_02 numeric
@ATTRIBUTE CannyEdges_3x3_02 numeric
@ATTRIBUTE RatioBW_3x3_10 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_10 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_10 numeric
@ATTRIBUTE HoughLines_3x3_10 numeric
@ATTRIBUTE HoughCircles_3x3_10 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_10 numeric
@ATTRIBUTE GravityCenterX_3x3_10 numeric
@ATTRIBUTE GravityCenterY_3x3_10 numeric
@ATTRIBUTE CannyEdges_3x3_10 numeric
@ATTRIBUTE RatioBW_3x3_11 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_11 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_11 numeric
@ATTRIBUTE HoughLines_3x3_11 numeric
@ATTRIBUTE HoughCircles_3x3_11 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_11 numeric
@ATTRIBUTE GravityCenterX_3x3_11 numeric
@ATTRIBUTE GravityCenterY_3x3_11 numeric
@ATTRIBUTE CannyEdges_3x3_11 numeric
@ATTRIBUTE RatioBW_3x3_12 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_12 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_12 numeric
@ATTRIBUTE HoughLines_3x3_12 numeric
@ATTRIBUTE HoughCircles_3x3_12 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_12 numeric
@ATTRIBUTE GravityCenterX_3x3_12 numeric
@ATTRIBUTE GravityCenterY_3x3_12 numeric
@ATTRIBUTE CannyEdges_3x3_12 numeric
@ATTRIBUTE RatioBW_3x3_20 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_20 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_20 numeric
@ATTRIBUTE HoughLines_3x3_20 numeric
@ATTRIBUTE HoughCircles_3x3_20 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_20 numeric
@ATTRIBUTE GravityCenterX_3x3_20 numeric
@ATTRIBUTE GravityCenterY_3x3_20 numeric
@ATTRIBUTE CannyEdges_3x3_20 numeric
@ATTRIBUTE RatioBW_3x3_21 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_21 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_21 numeric
@ATTRIBUTE HoughLines_3x3_21 numeric
@ATTRIBUTE HoughCircles_3x3_21 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_21 numeric
@ATTRIBUTE GravityCenterX_3x3_21 numeric
@ATTRIBUTE GravityCenterY_3x3_21 numeric
@ATTRIBUTE CannyEdges_3x3_21 numeric
@ATTRIBUTE RatioBW_3x3_22 numeric
@ATTRIBUTE NbLinesBlackPixels_3x3_22 numeric
@ATTRIBUTE NbColsBlackPixels_3x3_22 numeric
@ATTRIBUTE HoughLines_3x3_22 numeric
@ATTRIBUTE HoughCircles_3x3_22 numeric
@ATTRIBUTE BoundingBoxNumber_3x3_22 numeric
@ATTRIBUTE GravityCenterX_3x3_22 numeric
@ATTRIBUTE GravityCenterY_3x3_22 numeric
@ATTRIBUTE CannyEdges_3x3_22 numeric
@ATTRIBUTE RatioBW_2x2_00 numeric
@ATTRIBUTE NbLinesBlackPixels_2x2_00 numeric
@ATTRIBUTE NbColsBlackPixels_2x2_00 numeric
@ATTRIBUTE HoughLines_2x2_00 numeric
@ATTRIBUTE HoughCircles_2x2_00 numeric
@ATTRIBUTE BoundingBoxNumber_2x2_00 numeric
@ATTRIBUTE GravityCenterX_2x2_00 numeric
@ATTRIBUTE GravityCenterY_2x2_00 numeric
@ATTRIBUTE CannyEdges_2x2_00 numeric
@ATTRIBUTE RatioBW_2x2_01 numeric
@ATTRIBUTE NbLinesBlackPixels_2x2_01 numeric
@ATTRIBUTE NbColsBlackPixels_2x2_01 numeric
@ATTRIBUTE HoughLines_2x2_01 numeric
@ATTRIBUTE HoughCircles_2x2_01 numeric
@ATTRIBUTE BoundingBoxNumber_2x2_01 numeric
@ATTRIBUTE GravityCenterX_2x2_01 numeric
@ATTRIBUTE GravityCenterY_2x2_01 numeric
@ATTRIBUTE CannyEdges_2x2_01 numeric
@ATTRIBUTE RatioBW_2x2_10 numeric
@ATTRIBUTE NbLinesBlackPixels_2x2_10 numeric
@ATTRIBUTE NbColsBlackPixels_2x2_10 numeric
@ATTRIBUTE HoughLines_2x2_10 numeric
@ATTRIBUTE HoughCircles_2x2_10 numeric
@ATTRIBUTE BoundingBoxNumber_2x2_10 numeric
@ATTRIBUTE GravityCenterX_2x2_10 numeric
@ATTRIBUTE GravityCenterY_2x2_10 numeric
@ATTRIBUTE CannyEdges_2x2_10 numeric
@ATTRIBUTE RatioBW_2x2_11 numeric
@ATTRIBUTE NbLinesBlackPixels_2x2_11 numeric
@ATTRIBUTE NbColsBlackPixels_2x2_11 numeric
@ATTRIBUTE HoughLines_2x2_11 numeric
@ATTRIBUTE HoughCircles_2x2_11 numeric
@ATTRIBUTE BoundingBoxNumber_2x2_11 numeric
@ATTRIBUTE GravityCenterX_2x2_11 numeric
@ATTRIBUTE GravityCenterY_2x2_11 numeric
@ATTRIBUTE CannyEdges_2x2_11 numeric

@DATA
Electricity, 20.4517, 0.969466, 0.944444, 1, 6, 4, 35.7556, 71.793, 3, 1.81944, 39.5349, 0.651163, 1, 0, 0, 1, 0, 0, 2, 30.4264, 0.372093, 1, 0, 0, 1, 0, 0, 3, 30.9109, 0.813953, 0.458333, 0, 0, 1, 0, 0, 2, 46.7054, 0.813953, 1, 0, 1, 2, 0, 0, 2, 41.4729, 0.72093, 1, 0, 1, 2, 0, 0, 2, 79.1667, 1, 1, 0, 1, 1, 0, 0, 4, 2.03488, 0.232558, 0.0833333, 0, 0, 1, 0, 0, 0, 58.4302, 0.767442, 1, 0, 1, 1, 0, 0, 3, 41.0853, 0.790698, 0.833333, 0, 0, 2, 0, 0, 2, 60.8974, 1, 1, 1, 2, 3, 0, 0, 2, 35.3846, 0.6, 0.694444, 0, 0, 1, 0, 0, 2, 30.9402, 0.676923, 1, 0, 1, 1, 0, 0, 0, 67.0086, 0.969231, 1, 0, 2, 3, 0, 0, 2
FireBrigade, 32.5511, 0.970588, 0.968085, 5, 11, 4, 45.7922, 55.3287, 4, 1.08511, 87.1917, 1, 1, 0, 3, 1, 0, 0, 5, 82.2581, 1, 0.870968, 0, 1, 0, 0, 0, 3, 70.5882, 1, 0.806452, 0, 1, 1, 0, 0, 4, 60.1518, 0.764706, 1, 0, 1, 1, 0, 0, 3, 86.0531, 1, 1, 0, 1, 0, 0, 0, 3, 50.9488, 0.823529, 1, 0, 1, 1, 15.3031, 10.8275, 3, 21.2524, 0.411765, 0.870968, 0, 0, 1, 0, 0, 1, 76.5655, 1, 1, 0, 1, 1, 0, 0, 3, 3.60531, 0.205882, 0.225806, 0, 0, 1, 0, 0, 0, 90.1961, 1, 1, 0, 3, 1, 21.4141, 23.9595, 2, 84.3972, 1, 0.93617, 0, 3, 1, 0, 0, 3, 55.1106, 0.745098, 1, 0, 3, 1, 21.464, 24.1126, 2, 39.7163, 0.686275, 1, 0, 5, 1, 0, 0, 1
Accident, 28.0494, 0.980198, 0.979381, 3, 10, 4, 47.2266, 49.6431, 9, 1.04124, 3.2197, 0.242424, 0.15625, 0, 0, 1, 0, 0, 0, 48.4848, 1, 0.78125, 0, 1, 1, 0, 0, 2, 67.0455, 1, 1, 0, 1, 1, 0, 0, 3, 84.2803, 1, 1, 0, 1, 1, 0, 0, 3, 67.4242, 1, 1, 0, 1, 1, 0, 0, 3, 82.4811, 1, 1, 0, 1, 1, 0, 0, 4, 11.1742, 0.484848, 0.40625, 0, 0, 1, 0, 0, 1, 54.4508, 1, 0.96875, 0, 0, 2, 0, 0, 2, 68.1818, 1, 1, 0, 2, 1, 0, 0, 3, 45.0833, 1, 0.708333, 0, 4, 1, 25.4083, 32.9927, 1, 73.9583, 1, 1, 0, 3, 2, 22.822, 16.1084, 1, 49.5833, 1, 0.8125, 0, 4, 1, 19.7422, 23.5919, 3, 81.4583, 1, 1, 0, 2, 1, 32.015, 18.4976, 1
Paramedics, 30.9071, 0.980392, 0.959596, 0, 6, 4, 53.0004, 52.8707, 7, 1.0303, 56.5954, 1, 0.878788, 0, 1, 2, 0, 0, 2, 71.123, 1, 1, 0, 1, 2, 11.1498, 18.1783, 3, 57.5758, 1, 1, 0, 2, 2, 0, 0, 2, 50.713, 0.647059, 1, 0, 0, 1, 0, 0, 1, 73.8859, 1, 1, 0, 0, 1, 0, 0, 5, 49.9109, 0.647059, 1, 0, 0, 1, 0, 0, 1, 60.0713, 1, 0.939394, 0, 1, 2, 0, 0, 2, 52.9412, 1, 0.727273, 0, 0, 1, 0, 0, 2, 61.1408, 1, 1, 0, 1, 2, 0, 0, 2, 71.3886, 1, 1, 0, 2, 2, 0, 0, 3, 76.5106, 1, 1, 0, 3, 2, 0, 0, 1, 62.8651, 1, 1, 0, 2, 2, 0, 0, 2, 67.6671, 1, 1, 0, 1, 1, 0, 0, 0
Gas, 24.7308, 0.954545, 0.932039, 1, 8, 4, 50.09, 55.31, 4, 1.06796, 58.3333, 1, 1, 0, 3, 2, 21.677, 14.5478, 2, 54.7386, 1, 0.911765, 0, 0, 2, 0, 0, 2, 51.4706, 1, 0.705882, 0, 1, 2, 0, 0, 3, 64.134, 1, 0.970588, 0, 1, 2, 0, 0, 2, 70.9967, 1, 1, 0, 2, 1, 0, 0, 3, 74.0196, 0.861111, 1, 0, 3, 1, 0, 0, 4, 55.0654, 0.888889, 0.970588, 0, 1, 2, 0, 0, 2, 48.6928, 1, 1, 0, 2, 2, 17.2193, 15.9028, 2, 5.55556, 0.611111, 0.117647, 0, 0, 1, 0, 0, 0, 67.7718, 1, 1, 1, 3, 2, 0, 0, 2, 71.0873, 1, 0.921569, 0, 2, 2, 0, 0, 3, 78.574, 1, 1, 0, 3, 3, 0, 0, 2, 40, 0.890909, 0.686275, 0, 3, 1, 18.344, 30.539, 0
Car, 26.5738, 0.95, 0.963855, 5, 15, 6, 82.871, 39.9791, 5, 0.481928, 29.3007, 0.653846, 0.563636, 0, 0, 1, 0, 0, 2, 44.6853, 1, 0.890909, 0, 1, 2, 0, 0, 3, 78.8112, 1, 1, 0, 0, 1, 23.9568, 11.345, 5, 59.3706, 0.769231, 1, 1, 0, 2, 0, 0, 2, 16.0839, 0.269231, 0.945455, 0, 0, 1, 0, 0, 2, 66.5734, 1, 1, 0, 3, 1, 0, 0, 2, 50.2797, 1, 0.872727, 0, 2, 2, 0, 0, 3, 67.1329, 1, 1, 0, 2, 1, 0, 0, 3, 59.0909, 1, 0.745455, 0, 2, 1, 0, 0, 4, 42.5, 0.9, 0.879518, 0, 5, 2, 52.949, 18.2525, 2, 75.7229, 1, 1, 0, 6, 3, 24.0372, 23.1567, 5, 53.7048, 1, 1, 0, 5, 2, 20.6256, 12.2763, 0, 69.4277, 1, 1, 0, 3, 3, 0, 0, 0
RoadBlock, 26.5417, 0.969388, 0.945652, 0, 8, 5, 46.3797, 48.8983, 4, 1.06522, 48.125, 0.90625, 0.866667, 0, 1, 1, 0, 0, 3, 59.4792, 1, 1, 0, 0, 1, 0, 0, 3, 59.7917, 1, 1, 0, 1, 2, 0, 0, 3, 54.7917, 0.59375, 1, 0, 0, 1, 0, 0, 2, 48.9583, 0.53125, 1, 0, 0, 1, 13.7678, 11.738, 2, 35.4167, 0.40625, 1, 0, 0, 1, 0, 0, 1, 54.8958, 1, 0.8, 0, 0, 1, 0, 0, 3, 72.7083, 1, 1, 0, 1, 1, 0, 0, 3, 57.9167, 1, 1, 0, 2, 2, 0, 0, 2, 61.047, 1, 1, 0, 6, 2, 0, 0, 2, 63.9308, 1, 1, 0, 2, 2, 0, 0, 0, 60.9583, 1, 0.978261, 0, 3, 2, 0, 0, 3, 67.6131, 1, 1, 0, 3, 2, 0, 0, 0
Police, 25.8574, 0.958333, 0.990385, 1, 11, 5, 42.8083, 58.1889, 7, 1.15385, 30.3676, 0.9, 0.676471, 0, 0, 1, 0, 0, 2, 64.7794, 1, 0.970588, 0, 4, 1, 0, 0, 3, 40.2206, 0.875, 0.882353, 1, 1, 1, 0, 0, 2, 82.0588, 1, 1, 0, 3, 1, 0, 0, 4, 75.8824, 1, 1, 0, 2, 1, 0, 0, 3, 58.5294, 1, 1, 0, 2, 2, 0, 0, 4, 21.6912, 0.5, 0.676471, 0, 0, 1, 0, 0, 2, 63.6029, 1, 1, 0, 3, 1, 0, 0, 3, 30.2941, 0.675, 0.794118, 0, 2, 1, 0, 0, 2, 69.1987, 1, 1, 2, 7, 1, 27.7456, 36.1969, 3, 67.7244, 1, 1, 3, 4, 2, 0, 0, 2, 56.7949, 0.916667, 1, 3, 4, 1, 0, 0, 3, 44.4872, 0.95, 1, 1, 5, 2, 0, 0, 0
Electricity, 23.6373, 0.977099, 0.964912, 0, 6, 4, 26.744, 66.5153, 4, 2.29825, 38.8005, 0.651163, 1, 0, 0, 1, 0, 0, 2, 37.8213, 0.44186, 1, 0, 0, 1, 0, 0, 2, 76.1322, 0.860465, 1, 0, 0, 1, 0, 0, 2, 55.0796, 1, 1, 0, 0, 2, 0, 0, 2, 58.1395, 1, 1, 0, 1, 2, 0, 0, 3, 69.1554, 0.976744, 1, 0, 0, 1, 0, 0, 3, 11.2607, 0.348837, 0.368421, 0, 0, 1, 0, 0, 1, 60.7099, 0.744186, 1, 0, 0, 2, 0, 0, 3, 3.30477, 0.162791, 0.263158, 0, 0, 1, 0, 0, 0, 64.7253, 0.953846, 1, 0, 2, 1, 0, 0, 2, 60.1648, 0.830769, 1, 0, 1, 1, 0, 0, 2, 40.6593, 0.707692, 1, 0, 1, 1, 0, 0, 1, 47.4725, 0.907692, 1, 0, 2, 1, 0, 0, 0
FireBrigade, 36.0901, 0.968085, 0.978495, 4, 11, 3, 42.8389, 46.442, 4, 1.01075, 93.1322, 1, 1, 0, 2, 0, 0, 0, 4, 99.1675, 1, 1, 0, 1, 0, 0, 0, 4, 97.0864, 1, 1, 0, 3, 0, 0, 0, 3, 64.0999, 0.774194, 1, 0, 0, 1, 13.354, 15.1062, 2, 74.8179, 0.935484, 1, 0, 1, 1, 0, 0, 4, 37.1488, 0.774194, 0.967742, 0, 0, 1, 0, 0, 2, 23.205, 0.451613, 0.935484, 0, 0, 1, 0, 0, 1, 64.5161, 1, 1, 0, 2, 1, 0, 0, 3, 0.208117, 0.0322581, 0, 0, 0, 1, 0, 0, 0, 93.802, 1, 1, 0, 3, 1, 23.5836, 22.2914, 0, 91.6281, 1, 1, 0, 5, 1, 19.8227, 13.8547, 2, 56.753, 0.808511, 1, 0, 1, 1, 0, 0, 2, 28.5384, 0.574468, 0.847826, 0, 2, 1, 0, 0, 0
