@RELATION imagette

@ATTRIBUTE label {Accident, Bomb, Car, Casualty, Electricity, Fire, FireBrigade, Flood, Gas, Injury, Paramedics, Person, Police, RoadBlock}
@ATTRIBUTE RatioBW_Global numeric
@ATTRIBUTE NbLinesBlackPixels_Global numeric
@ATTRIBUTE NbColsBlackPixels_Global numeric
@ATTRIBUTE HoughLines_Global numeric
@ATTRIBUTE HoughCircles_Global numeric
@ATTRIBUTE BoundingBoxNumber_Global numeric
@ATTRIBUTE GravityCenterX_Global numeric
@ATTRIBUTE GravityCenterY_Global numeric
@ATTRIBUTE CannyEdges_Global numeric
@ATTRIBUTE HWRatio_Global numeric
@ATTRIBUTE RatioBW_00 numeric
@ATTRIBUTE NbLinesBlackPixels_00 numeric
@ATTRIBUTE NbColsBlackPixels_00 numeric
@ATTRIBUTE HoughLines_00 numeric
@ATTRIBUTE HoughCircles_00 numeric
@ATTRIBUTE BoundingBoxNumber_00 numeric
@ATTRIBUTE GravityCenterX_00 numeric
@ATTRIBUTE GravityCenterY_00 numeric
@ATTRIBUTE CannyEdges_00 numeric
@ATTRIBUTE RatioBW_01 numeric
@ATTRIBUTE NbLinesBlackPixels_01 numeric
@ATTRIBUTE NbColsBlackPixels_01 numeric
@ATTRIBUTE HoughLines_01 numeric
@ATTRIBUTE HoughCircles_01 numeric
@ATTRIBUTE BoundingBoxNumber_01 numeric
@ATTRIBUTE GravityCenterX_01 numeric
@ATTRIBUTE GravityCenterY_01 numeric
@ATTRIBUTE CannyEdges_01 numeric
@ATTRIBUTE RatioBW_02 numeric
@ATTRIBUTE NbLinesBlackPixels_02 numeric
@ATTRIBUTE NbColsBlackPixels_02 numeric
@ATTRIBUTE HoughLines_02 numeric
@ATTRIBUTE HoughCircles_02 numeric
@ATTRIBUTE BoundingBoxNumber_02 numeric
@ATTRIBUTE GravityCenterX_02 numeric
@ATTRIBUTE GravityCenterY_02 numeric
@ATTRIBUTE CannyEdges_02 numeric
@ATTRIBUTE RatioBW_10 numeric
@ATTRIBUTE NbLinesBlackPixels_10 numeric
@ATTRIBUTE NbColsBlackPixels_10 numeric
@ATTRIBUTE HoughLines_10 numeric
@ATTRIBUTE HoughCircles_10 numeric
@ATTRIBUTE BoundingBoxNumber_10 numeric
@ATTRIBUTE GravityCenterX_10 numeric
@ATTRIBUTE GravityCenterY_10 numeric
@ATTRIBUTE CannyEdges_10 numeric
@ATTRIBUTE RatioBW_11 numeric
@ATTRIBUTE NbLinesBlackPixels_11 numeric
@ATTRIBUTE NbColsBlackPixels_11 numeric
@ATTRIBUTE HoughLines_11 numeric
@ATTRIBUTE HoughCircles_11 numeric
@ATTRIBUTE BoundingBoxNumber_11 numeric
@ATTRIBUTE GravityCenterX_11 numeric
@ATTRIBUTE GravityCenterY_11 numeric
@ATTRIBUTE CannyEdges_11 numeric
@ATTRIBUTE RatioBW_12 numeric
@ATTRIBUTE NbLinesBlackPixels_12 numeric
@ATTRIBUTE NbColsBlackPixels_12 numeric
@ATTRIBUTE HoughLines_12 numeric
@ATTRIBUTE HoughCircles_12 numeric
@ATTRIBUTE BoundingBoxNumber_12 numeric
@ATTRIBUTE GravityCenterX_12 numeric
@ATTRIBUTE GravityCenterY_12 numeric
@ATTRIBUTE CannyEdges_12 numeric
@ATTRIBUTE RatioBW_20 numeric
@ATTRIBUTE NbLinesBlackPixels_20 numeric
@ATTRIBUTE NbColsBlackPixels_20 numeric
@ATTRIBUTE HoughLines_20 numeric
@ATTRIBUTE HoughCircles_20 numeric
@ATTRIBUTE BoundingBoxNumber_20 numeric
@ATTRIBUTE GravityCenterX_20 numeric
@ATTRIBUTE GravityCenterY_20 numeric
@ATTRIBUTE CannyEdges_20 numeric
@ATTRIBUTE RatioBW_21 numeric
@ATTRIBUTE NbLinesBlackPixels_21 numeric
@ATTRIBUTE NbColsBlackPixels_21 numeric
@ATTRIBUTE HoughLines_21 numeric
@ATTRIBUTE HoughCircles_21 numeric
@ATTRIBUTE BoundingBoxNumber_21 numeric
@ATTRIBUTE GravityCenterX_21 numeric
@ATTRIBUTE GravityCenterY_21 numeric
@ATTRIBUTE CannyEdges_21 numeric
@ATTRIBUTE RatioBW_22 numeric
@ATTRIBUTE NbLinesBlackPixels_22 numeric
@ATTRIBUTE NbColsBlackPixels_22 numeric
@ATTRIBUTE HoughLines_22 numeric
@ATTRIBUTE HoughCircles_22 numeric
@ATTRIBUTE BoundingBoxNumber_22 numeric
@ATTRIBUTE GravityCenterX_22 numeric
@ATTRIBUTE GravityCenterY_22 numeric
@ATTRIBUTE CannyEdges_22 numeric

@DATA
Electricity, 15.0175, 0.982456, 0.946667, 16, 6, 5, 38.7389, 96.9789, 8, 2.28, 34.0351, 0.77193, 0.92, 0, 0, 2, 0, 0, 2, 49.1228, 0.859649, 1, 0, 1, 2, 0, 0, 3, 60.3509, 1, 1, 0, 2, 3, 0, 0, 2, 35.1579, 0.596491, 0.88, 0, 2, 1, 0, 0, 2, 25.1228, 0.350877, 1, 0, 0, 2, 12.5605, 36.7599, 2, 62.1053, 1, 1, 0, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 42.5263, 0.54386, 1, 0, 0, 2, 0, 0, 2, 34.5965, 0.77193, 1, 0, 2, 2, 0, 0, 3
FireBrigade, 15.7343, 0.984615, 0.909091, 10, 15, 5, 81.458, 60.5266, 6, 0.738636, 47.9952, 1, 0.948276, 0, 3, 2, 20.0538, 18.8757, 4, 52.7265, 1, 0.62069, 0, 4, 1, 40.6292, 27.9964, 5, 49.3585, 1, 1, 0, 3, 2, 17.2283, 28.6459, 4, 56.0946, 0.837209, 1, 0, 2, 3, 0, 0, 3, 26.1026, 0.534884, 0.810345, 0, 1, 1, 12.8126, 29.4241, 1, 38.1716, 1, 1, 2, 2, 2, 26.9974, 23.9158, 2, 13.5124, 0.581395, 0.396552, 0, 1, 1, 0, 0, 2, 36.5678, 1, 0.810345, 0, 5, 2, 29.8625, 12.9619, 3, 18.8051, 0.511628, 0.689655, 0, 0, 1, 0, 0, 2
Car, 17.3466, 0.933333, 0.976744, 53, 21, 7, 116.494, 60.168, 13, 0.488372, 11.7505, 0.571429, 0.352113, 0, 0, 1, 0, 0, 2, 48.2897, 1, 0.859155, 3, 13, 3, 54.2472, 11.1138, 3, 62.4547, 1, 1, 0, 7, 2, 36.8473, 18.0911, 6, 41.4487, 0.742857, 1, 0, 4, 3, 32.785, 14.2905, 3, 24.507, 0.457143, 0.746479, 0, 0, 1, 0, 0, 4, 67.7666, 1, 1, 0, 5, 2, 21.6307, 22.0171, 6, 35.332, 0.828571, 0.746479, 0, 2, 2, 0, 0, 3, 33.2797, 1, 0.802817, 0, 1, 2, 49.682, 18.5283, 3, 53.3199, 0.914286, 1, 0, 4, 3, 39.5802, 15.121, 5
RoadBlock, 12.5383, 0.986111, 0.98773, 7, 10, 6, 79.5536, 70.4015, 8, 0.883436, 23.1867, 0.770833, 0.740741, 0, 0, 2, 0, 0, 2, 31.713, 1, 0.777778, 0, 3, 2, 0, 0, 3, 36.034, 1, 1, 0, 3, 2, 18.589, 27.6733, 2, 32.2145, 0.479167, 1, 0, 6, 1, 28.4144, 14.1942, 2, 29.9769, 0.375, 1, 1, 0, 2, 19.175, 26.4589, 2, 25.5015, 0.416667, 1, 0, 1, 1, 0, 0, 0, 48.9583, 1, 1, 0, 4, 2, 34.8581, 16.9265, 2, 33.4105, 1, 0.796296, 0, 2, 1, 0, 0, 2, 26.0802, 0.8125, 0.833333, 0, 1, 2, 0, 0, 2
Police, 12.0937, 0.989362, 0.98773, 43, 11, 7, 88.2875, 90.8849, 10, 1.15337, 27.4791, 1, 0.740741, 3, 1, 2, 33.5987, 23.0293, 2, 30.1971, 1, 0.555556, 1, 2, 2, 0, 0, 3, 23.0884, 0.725806, 0.851852, 5, 0, 2, 0, 0, 2, 34.2294, 0.951613, 1, 0, 4, 2, 27.4569, 21.5651, 2, 57.4373, 1, 1, 0, 3, 3, 37.165, 17.3479, 5, 31.7503, 0.83871, 1, 0, 3, 2, 0, 0, 3, 10.4839, 0.370968, 0.481481, 0, 0, 1, 0, 0, 2, 28.0167, 1, 0.777778, 1, 4, 2, 36.1849, 23.4289, 3, 29.9582, 0.935484, 0.944444, 0, 2, 2, 30.6311, 24.2987, 2
Accident, 12.4367, 0.962567, 0.887701, 47, 13, 4, 99.1089, 86.6581, 16, 1, 14.4901, 0.790323, 0.435484, 0, 5, 1, 0, 0, 1, 15.2706, 0.741935, 0.451613, 0, 2, 1, 19.2593, 23.1433, 1, 28.7981, 1, 1, 0, 5, 2, 16.1761, 43.0741, 2, 38.8137, 0.951613, 1, 1, 4, 2, 0, 0, 6, 56.9199, 1, 0.629032, 0, 5, 1, 27.7526, 28.8651, 3, 47.5026, 0.887097, 1, 2, 7, 1, 30.449, 31.9559, 4, 11.1082, 0.483871, 0.435484, 0, 1, 2, 0, 0, 2, 24.1935, 1, 0.741935, 8, 1, 2, 0, 0, 2, 29.5265, 0.967742, 1, 0, 3, 2, 22.3885, 43.1851, 2
Gas, 8.82417, 0.822785, 0.387283, 41, 9, 3, 41.8936, 109.805, 9, 1.36994, 51.3658, 1, 1, 1, 7, 4, 28.1096, 38.144, 6, 54.2527, 1, 1, 6, 6, 3, 39.8685, 53.4796, 6, 51.6322, 0.886076, 1, 2, 6, 4, 27.968, 47.5764, 4, 14.3682, 0.708861, 0.245614, 0, 0, 1, 0, 0, 2, 7.03975, 0.506329, 0.210526, 0, 0, 1, 0, 0, 0, 18.8541, 0.329114, 1, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 16.4557, 0.164557, 1, 2, 0, 2, 0, 0, 0
Electricity, 15.1659, 0.994845, 0.9375, 8, 5, 5, 30.7689, 110.2, 6, 3.03125, 33.1101, 0.625, 0.904762, 0, 0, 1, 0, 0, 2, 40.4762, 0.59375, 1, 0, 1, 2, 0, 0, 1, 58.5565, 0.96875, 1, 0, 0, 1, 0, 0, 2, 32.2917, 0.671875, 1, 0, 0, 2, 0, 0, 2, 23.1399, 0.390625, 1, 0, 0, 2, 0, 0, 2, 70.1637, 1, 1, 0, 1, 1, 0, 0, 4, 6.3244, 0.1875, 0.428571, 0, 0, 1, 0, 0, 0, 56.3988, 0.78125, 1, 0, 2, 2, 0, 0, 2, 44.3452, 0.796875, 1, 0, 1, 2, 0, 0, 1
Paramedics, 26.3572, 0.981366, 0.988701, 21, 12, 6, 89.1487, 81.8943, 22, 0.909605, 46.5302, 1, 1, 0, 3, 2, 17.5204, 20.5089, 5, 46.6901, 1, 0.762712, 0, 5, 1, 0, 0, 7, 57.3713, 1, 0.983051, 0, 3, 2, 22.115, 30.1439, 6, 64.5987, 0.886792, 1, 1, 4, 2, 24.149, 22.7184, 6, 88.1995, 1, 1, 0, 6, 1, 24.4628, 22.5766, 8, 75.6316, 1, 1, 1, 6, 1, 31.972, 20.3611, 9, 30.6044, 0.830189, 1, 0, 3, 2, 0, 0, 2, 65.0464, 1, 1, 0, 4, 1, 28.4682, 22.6269, 4, 33.2907, 1, 0.881356, 0, 3, 2, 22.9378, 24.5229, 3
RoadBlock, 14.5551, 0.991597, 0.977099, 7, 10, 6, 67.7527, 63.6663, 7, 0.908397, 28.9207, 0.820513, 0.767442, 0, 0, 2, 0, 0, 2, 44.5438, 1, 1, 0, 1, 1, 0, 0, 3, 42.2779, 1, 1, 0, 3, 2, 16.3431, 23.3253, 2, 34.2874, 0.487179, 1, 0, 2, 1, 0, 0, 2, 35.7782, 0.410256, 1, 0, 0, 2, 20.6097, 21.0745, 2, 27.5492, 0.410256, 1, 0, 0, 1, 0, 0, 1, 42.6357, 1, 1, 0, 2, 2, 19.5756, 19.3322, 2, 42.1586, 1, 0.953488, 0, 1, 1, 0, 0, 1, 35.2415, 0.897436, 0.906977, 0, 0, 2, 0, 0, 2
