@RELATION imagette

@ATTRIBUTE label {Accident, Bomb, Car, Casualty, Electricity, Fire, FireBrigade, Flood, Gas, Injury, Paramedics, Person, Police, RoadBlock}
@ATTRIBUTE RatioBW_Global numeric
@ATTRIBUTE NbLinesBlackPixels_Global numeric
@ATTRIBUTE NbColsBlackPixels_Global numeric
@ATTRIBUTE HoughLines_Global numeric
@ATTRIBUTE HoughCircles_Global numeric
@ATTRIBUTE BoundingBoxNumber_Global numeric
@ATTRIBUTE GravityCenterX_Global numeric
@ATTRIBUTE GravityCenterY_Global numeric
@ATTRIBUTE CannyEdges_Global numeric
@ATTRIBUTE HWRatio_Global numeric
@ATTRIBUTE RatioBW_00 numeric
@ATTRIBUTE NbLinesBlackPixels_00 numeric
@ATTRIBUTE NbColsBlackPixels_00 numeric
@ATTRIBUTE HoughLines_00 numeric
@ATTRIBUTE HoughCircles_00 numeric
@ATTRIBUTE BoundingBoxNumber_00 numeric
@ATTRIBUTE GravityCenterX_00 numeric
@ATTRIBUTE GravityCenterY_00 numeric
@ATTRIBUTE CannyEdges_00 numeric
@ATTRIBUTE RatioBW_01 numeric
@ATTRIBUTE NbLinesBlackPixels_01 numeric
@ATTRIBUTE NbColsBlackPixels_01 numeric
@ATTRIBUTE HoughLines_01 numeric
@ATTRIBUTE HoughCircles_01 numeric
@ATTRIBUTE BoundingBoxNumber_01 numeric
@ATTRIBUTE GravityCenterX_01 numeric
@ATTRIBUTE GravityCenterY_01 numeric
@ATTRIBUTE CannyEdges_01 numeric
@ATTRIBUTE RatioBW_02 numeric
@ATTRIBUTE NbLinesBlackPixels_02 numeric
@ATTRIBUTE NbColsBlackPixels_02 numeric
@ATTRIBUTE HoughLines_02 numeric
@ATTRIBUTE HoughCircles_02 numeric
@ATTRIBUTE BoundingBoxNumber_02 numeric
@ATTRIBUTE GravityCenterX_02 numeric
@ATTRIBUTE GravityCenterY_02 numeric
@ATTRIBUTE CannyEdges_02 numeric
@ATTRIBUTE RatioBW_10 numeric
@ATTRIBUTE NbLinesBlackPixels_10 numeric
@ATTRIBUTE NbColsBlackPixels_10 numeric
@ATTRIBUTE HoughLines_10 numeric
@ATTRIBUTE HoughCircles_10 numeric
@ATTRIBUTE BoundingBoxNumber_10 numeric
@ATTRIBUTE GravityCenterX_10 numeric
@ATTRIBUTE GravityCenterY_10 numeric
@ATTRIBUTE CannyEdges_10 numeric
@ATTRIBUTE RatioBW_11 numeric
@ATTRIBUTE NbLinesBlackPixels_11 numeric
@ATTRIBUTE NbColsBlackPixels_11 numeric
@ATTRIBUTE HoughLines_11 numeric
@ATTRIBUTE HoughCircles_11 numeric
@ATTRIBUTE BoundingBoxNumber_11 numeric
@ATTRIBUTE GravityCenterX_11 numeric
@ATTRIBUTE GravityCenterY_11 numeric
@ATTRIBUTE CannyEdges_11 numeric
@ATTRIBUTE RatioBW_12 numeric
@ATTRIBUTE NbLinesBlackPixels_12 numeric
@ATTRIBUTE NbColsBlackPixels_12 numeric
@ATTRIBUTE HoughLines_12 numeric
@ATTRIBUTE HoughCircles_12 numeric
@ATTRIBUTE BoundingBoxNumber_12 numeric
@ATTRIBUTE GravityCenterX_12 numeric
@ATTRIBUTE GravityCenterY_12 numeric
@ATTRIBUTE CannyEdges_12 numeric
@ATTRIBUTE RatioBW_20 numeric
@ATTRIBUTE NbLinesBlackPixels_20 numeric
@ATTRIBUTE NbColsBlackPixels_20 numeric
@ATTRIBUTE HoughLines_20 numeric
@ATTRIBUTE HoughCircles_20 numeric
@ATTRIBUTE BoundingBoxNumber_20 numeric
@ATTRIBUTE GravityCenterX_20 numeric
@ATTRIBUTE GravityCenterY_20 numeric
@ATTRIBUTE CannyEdges_20 numeric
@ATTRIBUTE RatioBW_21 numeric
@ATTRIBUTE NbLinesBlackPixels_21 numeric
@ATTRIBUTE NbColsBlackPixels_21 numeric
@ATTRIBUTE HoughLines_21 numeric
@ATTRIBUTE HoughCircles_21 numeric
@ATTRIBUTE BoundingBoxNumber_21 numeric
@ATTRIBUTE GravityCenterX_21 numeric
@ATTRIBUTE GravityCenterY_21 numeric
@ATTRIBUTE CannyEdges_21 numeric
@ATTRIBUTE RatioBW_22 numeric
@ATTRIBUTE NbLinesBlackPixels_22 numeric
@ATTRIBUTE NbColsBlackPixels_22 numeric
@ATTRIBUTE HoughLines_22 numeric
@ATTRIBUTE HoughCircles_22 numeric
@ATTRIBUTE BoundingBoxNumber_22 numeric
@ATTRIBUTE GravityCenterX_22 numeric
@ATTRIBUTE GravityCenterY_22 numeric
@ATTRIBUTE CannyEdges_22 numeric

@DATA
FireBrigade, 7.05844, 0.475, 0.380952, 3, 11, 1, 93.6715, 107.555, 6, 0.865801, 5.3719, 0.181818, 0.337662, 0, 0, 1, 0, 0, 2, 24.754, 1, 0.324675, 0, 3, 1, 59.8511, 23.1871, 3, 11.1964, 0.439394, 0.311688, 0, 1, 1, 57.0982, 12.8613, 2, 2.24321, 0.181818, 0.12987, 0, 0, 1, 0, 0, 0, 68.2802, 1, 0.961039, 2, 7, 2, 31.354, 26.6031, 7, 9.4451, 0.393939, 0.415584, 0, 2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Accident, 5.337, 0.388646, 0.404348, 4, 12, 3, 100.035, 134.471, 5, 0.995652, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6.76939, 0.447368, 0.236842, 0, 1, 1, 0, 0, 2, 8.84695, 0.342105, 0.315789, 0, 1, 1, 0, 0, 3, 1.17729, 0.0789474, 0.144737, 0, 0, 1, 0, 0, 0, 53.982, 1, 1, 7, 6, 4, 32.3591, 34.6145, 6, 28.2202, 0.460526, 1, 2, 3, 3, 30.0316, 33.6478, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.450139, 0, 0.0394737, 0, 0, 1, 0, 0, 0, 0.865651, 0, 0.0394737, 0, 0, 1, 0, 0, 0
Car, 6.84736, 0.330435, 0.649351, 4, 10, 2, 103.046, 126.541, 4, 0.995671, 0, 0, 0, 0, 0, 1, 0, 0, 0, 33.9542, 0.763158, 0.831169, 1, 7, 2, 44.8311, 34.7376, 3, 12.0472, 0.236842, 0.779221, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 46.7874, 0.710526, 1, 1, 3, 2, 36.4491, 32.0631, 5, 11.2098, 0.223684, 0.636364, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 16.6781, 0.763158, 0.376623, 0, 4, 1, 0, 0, 2, 0.717703, 0.0921053, 0.0649351, 0, 0, 1, 0, 0, 0
Paramedics, 6.0814, 0.436681, 0.411255, 0, 8, 2, 103.336, 121.895, 6, 0.991342, 1.64046, 0.144737, 0.142857, 0, 0, 1, 0, 0, 1, 23.8551, 1, 0.311688, 0, 3, 1, 57.8389, 37.2354, 3, 2.61449, 0.157895, 0.207792, 0, 0, 1, 0, 0, 1, 14.4395, 0.184211, 0.883117, 1, 1, 1, 0, 0, 2, 47.1805, 1, 1, 1, 6, 1, 34.1881, 41.0434, 5, 20.6938, 0.25, 0.961039, 0, 1, 1, 27.9154, 15.9675, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.23035, 0, 0.038961, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Gas, 5.46702, 0.427948, 0.38961, 1, 10, 2, 102.119, 114.64, 6, 0.991342, 3.55434, 0.144737, 0.311688, 0, 0, 1, 0, 0, 2, 15.2768, 0.802632, 0.285714, 0, 3, 1, 0, 0, 4, 5.87833, 0.315789, 0.233766, 0, 0, 1, 0, 0, 3, 9.63773, 0.197368, 0.701299, 0, 1, 1, 0, 0, 3, 59.8599, 1, 1, 1, 5, 3, 42.2226, 38.3726, 9, 9.41558, 0.263158, 0.545455, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2.37526, 0.289474, 0.0909091, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Electricity, 3.72219, 0.292576, 0.277056, 0, 9, 1, 107.942, 129.584, 1, 0.991342, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.89679, 0.223684, 0.0909091, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4.97266, 0.223684, 0.298701, 0, 1, 1, 0, 0, 2, 34.9111, 1, 0.922078, 3, 7, 3, 30.0474, 34.65, 6, 27.4094, 0.578947, 0.753247, 1, 7, 1, 44.6381, 22.4661, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
RoadBlock, 4.87979, 0.440367, 0.375, 3, 9, 2, 92.1101, 124.139, 4, 0.939655, 0, 0, 0, 0, 0, 1, 0, 0, 0, 20.2742, 0.944444, 0.376623, 0, 2, 2, 55.2832, 40.5904, 2, 7.41342, 0.347222, 0.311688, 0, 0, 1, 0, 0, 2, 2.57937, 0.0694444, 0.324675, 0, 0, 1, 0, 0, 0, 45.9416, 1, 0.883117, 1, 6, 3, 34.9457, 46.9675, 6, 17.4964, 0.361111, 0.818182, 0, 0, 2, 14.433, 19.9017, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Police, 6.2182, 0.447368, 0.437229, 4, 12, 2, 106.662, 129.784, 6, 0.987013, 0, 0, 0, 0, 0, 1, 0, 0, 0, 13.961, 0.671053, 0.285714, 0, 2, 1, 63.037, 61.0395, 2, 1.40123, 0.105263, 0.12987, 0, 0, 1, 0, 0, 1, 3.74231, 0.157895, 0.285714, 0, 0, 1, 0, 0, 2, 64.0807, 1, 1, 5, 8, 4, 29.891, 36.5693, 11, 23.8551, 0.486842, 0.935065, 0, 6, 2, 25.4991, 26.3431, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6.37389, 0.486842, 0.168831, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
FireBrigade, 6.94576, 0.435644, 0.365217, 3, 12, 1, 101.439, 108.5, 4, 0.878261, 1.74784, 0.134328, 0.144737, 0, 0, 1, 0, 0, 1, 12.7062, 1, 0.144737, 0, 0, 1, 0, 0, 1, 3.86881, 0.328358, 0.131579, 0, 0, 1, 0, 0, 1, 2.49411, 0.134328, 0.210526, 0, 0, 1, 0, 0, 1, 77.2977, 1, 1, 0, 7, 3, 33.7665, 30.597, 8, 12.0385, 0.358209, 0.473684, 0, 3, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4.14375, 0.283582, 0.171053, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
RoadBlock, 5.28803, 0.369863, 0.423581, 4, 10, 2, 108.039, 115.566, 6, 0.956332, 0, 0, 0, 0, 0, 1, 0, 0, 0, 16.889, 0.849315, 0.276316, 0, 0, 1, 0, 0, 2, 0.378515, 0.0410959, 0.0394737, 0, 0, 1, 0, 0, 0, 1.44196, 0.0547945, 0.105263, 0, 0, 1, 0, 0, 0, 60.5624, 1, 1, 2, 9, 3, 52.4944, 35.5737, 10, 13.6986, 0.30137, 0.881579, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6.36265, 0.616438, 0.118421, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0
