@RELATION imagette

@ATTRIBUTE label {Accident, Bomb, Car, Casualty, Electricity, Fire, FireBrigade, Flood, Gas, Injury, Paramedics, Person, Police, RoadBlock}
@ATTRIBUTE RatioBW_Global numeric
@ATTRIBUTE NbLinesBlackPixels_Global numeric
@ATTRIBUTE NbColsBlackPixels_Global numeric
@ATTRIBUTE HoughLines_Global numeric
@ATTRIBUTE HoughCircles_Global numeric
@ATTRIBUTE BoundingBoxNumber_Global numeric
@ATTRIBUTE GravityCenterX_Global numeric
@ATTRIBUTE GravityCenterY_Global numeric
@ATTRIBUTE CannyEdges_Global numeric
@ATTRIBUTE HWRatio_Global numeric
@ATTRIBUTE RatioBW_00 numeric
@ATTRIBUTE NbLinesBlackPixels_00 numeric
@ATTRIBUTE NbColsBlackPixels_00 numeric
@ATTRIBUTE HoughLines_00 numeric
@ATTRIBUTE HoughCircles_00 numeric
@ATTRIBUTE BoundingBoxNumber_00 numeric
@ATTRIBUTE GravityCenterX_00 numeric
@ATTRIBUTE GravityCenterY_00 numeric
@ATTRIBUTE CannyEdges_00 numeric
@ATTRIBUTE RatioBW_01 numeric
@ATTRIBUTE NbLinesBlackPixels_01 numeric
@ATTRIBUTE NbColsBlackPixels_01 numeric
@ATTRIBUTE HoughLines_01 numeric
@ATTRIBUTE HoughCircles_01 numeric
@ATTRIBUTE BoundingBoxNumber_01 numeric
@ATTRIBUTE GravityCenterX_01 numeric
@ATTRIBUTE GravityCenterY_01 numeric
@ATTRIBUTE CannyEdges_01 numeric
@ATTRIBUTE RatioBW_02 numeric
@ATTRIBUTE NbLinesBlackPixels_02 numeric
@ATTRIBUTE NbColsBlackPixels_02 numeric
@ATTRIBUTE HoughLines_02 numeric
@ATTRIBUTE HoughCircles_02 numeric
@ATTRIBUTE BoundingBoxNumber_02 numeric
@ATTRIBUTE GravityCenterX_02 numeric
@ATTRIBUTE GravityCenterY_02 numeric
@ATTRIBUTE CannyEdges_02 numeric
@ATTRIBUTE RatioBW_10 numeric
@ATTRIBUTE NbLinesBlackPixels_10 numeric
@ATTRIBUTE NbColsBlackPixels_10 numeric
@ATTRIBUTE HoughLines_10 numeric
@ATTRIBUTE HoughCircles_10 numeric
@ATTRIBUTE BoundingBoxNumber_10 numeric
@ATTRIBUTE GravityCenterX_10 numeric
@ATTRIBUTE GravityCenterY_10 numeric
@ATTRIBUTE CannyEdges_10 numeric
@ATTRIBUTE RatioBW_11 numeric
@ATTRIBUTE NbLinesBlackPixels_11 numeric
@ATTRIBUTE NbColsBlackPixels_11 numeric
@ATTRIBUTE HoughLines_11 numeric
@ATTRIBUTE HoughCircles_11 numeric
@ATTRIBUTE BoundingBoxNumber_11 numeric
@ATTRIBUTE GravityCenterX_11 numeric
@ATTRIBUTE GravityCenterY_11 numeric
@ATTRIBUTE CannyEdges_11 numeric
@ATTRIBUTE RatioBW_12 numeric
@ATTRIBUTE NbLinesBlackPixels_12 numeric
@ATTRIBUTE NbColsBlackPixels_12 numeric
@ATTRIBUTE HoughLines_12 numeric
@ATTRIBUTE HoughCircles_12 numeric
@ATTRIBUTE BoundingBoxNumber_12 numeric
@ATTRIBUTE GravityCenterX_12 numeric
@ATTRIBUTE GravityCenterY_12 numeric
@ATTRIBUTE CannyEdges_12 numeric
@ATTRIBUTE RatioBW_20 numeric
@ATTRIBUTE NbLinesBlackPixels_20 numeric
@ATTRIBUTE NbColsBlackPixels_20 numeric
@ATTRIBUTE HoughLines_20 numeric
@ATTRIBUTE HoughCircles_20 numeric
@ATTRIBUTE BoundingBoxNumber_20 numeric
@ATTRIBUTE GravityCenterX_20 numeric
@ATTRIBUTE GravityCenterY_20 numeric
@ATTRIBUTE CannyEdges_20 numeric
@ATTRIBUTE RatioBW_21 numeric
@ATTRIBUTE NbLinesBlackPixels_21 numeric
@ATTRIBUTE NbColsBlackPixels_21 numeric
@ATTRIBUTE HoughLines_21 numeric
@ATTRIBUTE HoughCircles_21 numeric
@ATTRIBUTE BoundingBoxNumber_21 numeric
@ATTRIBUTE GravityCenterX_21 numeric
@ATTRIBUTE GravityCenterY_21 numeric
@ATTRIBUTE CannyEdges_21 numeric
@ATTRIBUTE RatioBW_22 numeric
@ATTRIBUTE NbLinesBlackPixels_22 numeric
@ATTRIBUTE NbColsBlackPixels_22 numeric
@ATTRIBUTE HoughLines_22 numeric
@ATTRIBUTE HoughCircles_22 numeric
@ATTRIBUTE BoundingBoxNumber_22 numeric
@ATTRIBUTE GravityCenterX_22 numeric
@ATTRIBUTE GravityCenterY_22 numeric
@ATTRIBUTE CannyEdges_22 numeric

@DATA
Accident, 28.621, 0.980198, 0.979381, 3, 10, 4, 46.9785, 48.4252, 9, 1.04124, 3.40909, 0.242424, 0.15625, 0, 0, 1, 0, 0, 0, 48.5795, 1, 0.78125, 0, 1, 1, 0, 0, 2, 66.8561, 1, 1, 0, 3, 1, 0, 0, 5, 84.2803, 1, 1, 0, 0, 1, 0, 0, 3, 68.1818, 1, 1, 0, 0, 1, 0, 0, 3, 83.8068, 1, 1, 0, 1, 1, 0, 0, 3, 11.1742, 0.484848, 0.40625, 0, 0, 1, 0, 0, 1, 54.4508, 1, 0.96875, 0, 0, 2, 0, 0, 2, 69.8864, 1, 1, 0, 3, 1, 0, 0, 3
FireBrigade, 34.0113, 0.970588, 0.968085, 4, 11, 3, 48.3331, 52.7944, 8, 1.08511, 92.7894, 1, 1, 0, 3, 0, 0, 0, 6, 82.2581, 1, 0.870968, 0, 0, 0, 0, 0, 3, 81.9734, 1, 1, 0, 3, 0, 0, 0, 3, 61.4801, 0.941176, 1, 0, 1, 1, 0, 0, 3, 92.315, 1, 1, 0, 1, 0, 0, 0, 5, 51.1385, 0.823529, 1, 0, 1, 1, 15.3756, 10.9714, 3, 21.2524, 0.411765, 0.870968, 0, 0, 1, 0, 0, 1, 81.2144, 1, 1, 0, 2, 1, 0, 0, 4, 3.60531, 0.205882, 0.225806, 0, 0, 1, 0, 0, 0
Paramedics, 31.8281, 0.990196, 0.969697, 0, 6, 4, 53.1373, 53.5469, 10, 1.0303, 58.1996, 1, 0.909091, 0, 1, 2, 0, 0, 2, 73.6185, 1, 1, 0, 1, 1, 0, 0, 3, 57.754, 1, 1, 0, 2, 2, 0, 0, 2, 51.2478, 0.676471, 1, 0, 0, 1, 0, 0, 1, 75.4902, 1, 1, 0, 1, 1, 0, 0, 4, 49.9109, 0.647059, 1, 0, 0, 1, 0, 0, 1, 60.0713, 1, 0.939394, 0, 1, 2, 0, 0, 2, 54.9911, 1, 0.787879, 0, 0, 1, 0, 0, 5, 61.5865, 1, 1, 0, 1, 2, 0, 0, 2
Car, 27.3946, 0.95, 0.963855, 8, 17, 6, 85.0019, 39.9823, 8, 0.481928, 32.9371, 0.807692, 0.581818, 0, 1, 1, 0, 0, 2, 44.8252, 1, 0.890909, 0, 1, 2, 0, 0, 3, 79.7902, 1, 1, 0, 1, 1, 23.719, 11.5161, 4, 60.9091, 0.807692, 1, 1, 0, 1, 0, 0, 2, 16.7133, 0.269231, 0.945455, 0, 0, 1, 0, 0, 1, 67.4126, 1, 1, 0, 3, 1, 0, 0, 1, 50.5594, 1, 0.872727, 0, 2, 2, 0, 0, 3, 69.021, 1, 1, 0, 3, 1, 22.1738, 12.8365, 3, 59.0909, 1, 0.745455, 0, 2, 1, 0, 0, 4
Electricity, 20.8757, 0.977099, 0.944444, 1, 7, 5, 35.7766, 70.631, 5, 1.81944, 39.438, 0.651163, 1, 0, 0, 1, 0, 0, 2, 30.4264, 0.372093, 1, 0, 0, 1, 0, 0, 3, 31.9767, 0.813953, 0.458333, 0, 0, 1, 0, 0, 2, 46.7054, 0.813953, 1, 0, 1, 2, 0, 0, 3, 43.314, 0.72093, 1, 0, 1, 2, 0, 0, 2, 79.1667, 1, 1, 0, 1, 1, 0, 0, 4, 2.42248, 0.232558, 0.125, 0, 0, 1, 0, 0, 0, 58.2364, 0.767442, 1, 0, 3, 1, 0, 0, 3, 45.9302, 0.790698, 1, 0, 1, 2, 0, 0, 3
Gas, 25.5252, 0.954545, 0.951456, 1, 9, 4, 52.0141, 56.1976, 8, 1.06796, 59.8856, 1, 1, 0, 3, 2, 21.9469, 14.6848, 3, 54.9837, 1, 0.911765, 0, 0, 2, 0, 0, 2, 52.2059, 1, 0.705882, 0, 1, 2, 0, 0, 2, 66.7484, 1, 1, 0, 2, 2, 0, 0, 3, 71.0784, 1, 1, 0, 2, 1, 0, 0, 3, 75.3268, 0.916667, 1, 0, 3, 1, 0, 0, 4, 56.6993, 0.916667, 1, 0, 4, 2, 0, 0, 3, 49.5098, 1, 1, 0, 2, 1, 17.9655, 15.188, 2, 8.90523, 0.694444, 0.205882, 0, 0, 1, 0, 0, 0
Police, 26.2019, 0.958333, 0.990385, 2, 12, 5, 44.516, 59.0641, 7, 1.15385, 30.2206, 0.9, 0.676471, 0, 0, 1, 0, 0, 2, 64.8529, 1, 0.970588, 0, 2, 1, 0, 0, 3, 40.9559, 0.875, 0.882353, 1, 1, 1, 0, 0, 2, 82.1324, 1, 1, 0, 4, 1, 0, 0, 4, 76.3235, 1, 1, 0, 3, 1, 0, 0, 4, 59.2647, 1, 1, 0, 4, 2, 0, 0, 3, 21.6912, 0.5, 0.676471, 0, 0, 1, 0, 0, 2, 65.0735, 1, 1, 0, 3, 1, 0, 0, 4, 30.2941, 0.675, 0.794118, 0, 2, 1, 0, 0, 2
RoadBlock, 27.2294, 0.969388, 0.956522, 0, 7, 5, 48.5278, 46.1255, 6, 1.06522, 48.3333, 0.90625, 0.866667, 0, 1, 1, 0, 0, 3, 60.7292, 1, 1, 0, 1, 1, 0, 0, 4, 59.6875, 1, 1, 0, 1, 2, 0, 0, 2, 55.4167, 0.625, 1, 0, 0, 1, 0, 0, 2, 49.7917, 0.5625, 1, 0, 0, 1, 13.7568, 11.7744, 2, 35.4167, 0.40625, 1, 0, 1, 1, 0, 0, 1, 55.4167, 1, 0.8, 0, 1, 1, 0, 0, 2, 72.9167, 1, 1, 0, 2, 1, 13.6445, 12.3833, 4, 58.0208, 1, 1, 0, 1, 2, 0, 0, 2
FireBrigade, 36.8108, 0.968085, 0.978495, 7, 12, 3, 40.5208, 46.7392, 9, 1.01075, 93.5484, 1, 1, 0, 1, 0, 0, 0, 4, 99.6878, 1, 1, 0, 2, 0, 0, 0, 3, 97.0864, 1, 1, 0, 4, 0, 0, 0, 4, 64.0999, 0.774194, 1, 0, 0, 1, 13.7357, 15.3479, 2, 75.9625, 0.967742, 1, 0, 1, 1, 0, 0, 4, 37.565, 0.774194, 0.967742, 0, 0, 1, 0, 0, 2, 23.1009, 0.451613, 0.935484, 0, 0, 1, 0, 0, 1, 64.4121, 1, 1, 0, 2, 1, 0, 0, 3, 0.208117, 0.0322581, 0, 0, 0, 1, 0, 0, 0
Accident, 26.8608, 0.970874, 0.965812, 8, 13, 5, 56.4912, 56.0941, 5, 0.880342, 20.0603, 0.794118, 0.384615, 0, 0, 1, 0, 0, 2, 50.5279, 1, 0.948718, 0, 1, 2, 0, 0, 2, 65.083, 1, 1, 0, 3, 1, 0, 0, 3, 68.4012, 1, 1, 0, 2, 1, 18.0248, 11.439, 4, 59.4268, 1, 0.717949, 0, 0, 2, 0, 0, 2, 83.0317, 1, 1, 0, 3, 1, 21.4568, 20.3982, 4, 0.452489, 0.0588235, 0.0512821, 0, 0, 1, 0, 0, 0, 37.7828, 1, 0.769231, 0, 2, 1, 0, 0, 2, 68.8537, 0.911765, 1, 0, 4, 2, 15.0136, 17.5038, 3
